Geolocation_Key,Time_Key,Goal_Key,Target_Key,value
11,722,204,420,
11,723,204,420,
12,701,204,420,74.84
12,702,204,420,60.3
12,703,204,420,62.5
12,704,204,420,63.97
12,705,204,420,62.86
12,706,204,420,60.69
12,707,204,420,59.56
12,708,204,420,60.63
12,709,204,420,60.96
12,710,204,420,63.46
12,711,204,420,68.09
12,712,204,420,67.94
12,713,204,420,70.8
12,714,204,420,75.26
12,715,204,420,75.2
12,716,204,420,83.37
12,717,204,420,83.73
12,718,204,420,85.53
12,719,204,420,93.34
12,720,204,420,93.97
12,721,204,420,90.4341
12,722,204,420,
12,723,204,420,
13,701,204,420,54.64
13,702,204,420,53.82
13,703,204,420,55.41
13,704,204,420,56.91
13,705,204,420,57.48
13,706,204,420,56.74
13,707,204,420,56.68
13,708,204,420,58
13,709,204,420,60.06
13,710,204,420,59.05
13,711,204,420,63.44
13,712,204,420,66.14
13,713,204,420,67.33
13,714,204,420,70.34
13,715,204,420,68.86
13,716,204,420,75.87
13,717,204,420,77.28
13,718,204,420,80.55
13,719,204,420,84.51
13,720,204,420,84.85
13,721,204,420,85.861
13,722,204,420,
13,723,204,420,
9,701,204,420,62.4
9,702,204,420,47.79
9,703,204,420,53.7
9,704,204,420,54.6
9,705,204,420,55.83
9,706,204,420,52.2
9,707,204,420,52.67
9,708,204,420,55.15
9,709,204,420,54.18
9,710,204,420,54.02
9,711,204,420,56.96
9,712,204,420,56.74
9,713,204,420,58.14
9,714,204,420,59.48
9,715,204,420,60
9,716,204,420,68.75
9,717,204,420,69.02
9,718,204,420,71.71
9,719,204,420,79.2
9,720,204,420,79.54
9,721,204,420,79.4786
9,722,204,420,
9,723,204,420,
14,701,204,420,61.74
14,702,204,420,57.42
14,703,204,420,58.51
14,704,204,420,59.28
14,705,204,420,57.62
14,706,204,420,56.87
14,707,204,420,56.72
14,708,204,420,56.91
14,709,204,420,55.66
14,710,204,420,55.96
14,711,204,420,61
14,712,204,420,61.3
14,713,204,420,63.22
14,714,204,420,62.83
14,715,204,420,63.86
14,716,204,420,69.96
